,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district,predicted_sales,has_shop,rent,disposal,cost_per_grid
57,004-013,22.2610686,22.2851708,114.2211762,114.25294113333334,0,,,116,4,5,Eastern,23.17030427463761,0,1.8536243419710088,0.0,1.8536243419710088
58,004-014,22.2610686,22.2851708,114.25294113333334,114.28470606666669,0,,,6,0,0,,1.4564679386510626,0,0.11651743509208501,0.0,0.11651743509208501
59,004-015,22.2610686,22.2851708,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
60,005-001,22.2851708,22.309273,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
61,005-002,22.2851708,22.309273,113.87176193333332,113.90352686666668,0,,,2,0,0,,0.4854893128836876,0,0.03883914503069501,0.0,0.03883914503069501
62,005-003,22.2851708,22.309273,113.90352686666668,113.9352918,0,,,20,0,1,,4.857754512871762,0,0.38862036102974096,0.0,0.38862036102974096
63,005-004,22.2851708,22.309273,113.9352918,113.96705673333334,0,,,31,1,10,,6.303102491848338,0,0.504248199347867,0.0,0.504248199347867
64,005-005,22.2851708,22.309273,113.96705673333334,113.99882166666669,0,,,3,0,0,,0.7282339693255313,0,0.058258717546042504,0.0,0.058258717546042504
65,005-006,22.2851708,22.309273,113.99882166666669,114.0305866,0,,,30,0,2,,7.288062461325085,0,0.5830449969060068,0.0,0.5830449969060068
66,005-007,22.2851708,22.309273,114.0305866,114.06235153333334,0,,,0,0,1,,0.0028613840348855123,0,0.000228910722790841,0.0,0.000228910722790841
67,005-008,22.2851708,22.309273,114.06235153333334,114.09411646666666,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
68,005-009,22.2851708,22.309273,114.09411646666666,114.1258814,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
69,005-010,22.2851708,22.309273,114.1258814,114.15764633333332,5,3.64,121.8,66,1,5,,14.784858547138441,1,1.1827886837710753,12.611537753638338,13.794326437409413
70,005-011,22.2851708,22.309273,114.15764633333332,114.18941126666668,8,3.775,207.5,127,6,18,,23.376502091556056,1,1.8701201673244845,12.611537753638338,14.481657920962823
71,005-012,22.2851708,22.309273,114.18941126666668,114.2211762,5,3.66,216.6,78,5,5,,12.69541163164987,1,1.0156329305319896,12.611537753638338,13.627170684170327
72,005-013,22.2851708,22.309273,114.2211762,114.25294113333334,4,3.4749999999999996,123.0,59,5,4,,8.080401775219954,1,0.6464321420175964,12.611537753638338,13.257969895655934
73,005-014,22.2851708,22.309273,114.25294113333334,114.28470606666669,0,,,38,1,0,,7.973701246592389,0,0.6378960997273911,0.0,0.6378960997273911
74,005-015,22.2851708,22.309273,114.28470606666669,114.316471,0,,,14,0,0,,3.398425190185813,0,0.27187401521486504,0.0,0.27187401521486504
